co,no2,o3,pm10,pm25,predicted aqi,City,Date,county_name,cases
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28,Fulton,0
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28,Fulton,20
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28,Fulton,19
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28,Fulton,2
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28,Fulton,2
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28,Fulton,9
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28,Fulton,313
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28,Fulton,7
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,12
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,0
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,8
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,9
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,46
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,52
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,64
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,0
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,3
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,22
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,518
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28,Wayne,48
