co,no2,o3,pm10,pm25,predicted aqi,City,Date
1.5,5.6,22.4,22.0,20.0,68.05773984528639,Albuquerque,2020-12-28
5.2,16.0,11.2,18.0,53.0,139.34131791276673,Atlanta,2020-12-28
2.8652169542887327,2.9,18.4,18.47656723982837,25.0,79.34619232677801,Austin,2020-12-28
2.8652169542887327,15.8,16.8,11.0,38.0,107.53796906098637,Baltimore,2020-12-28
2.5,10.2,12.8,15.0,42.0,116.09564858021031,Boise,2020-12-28
3.7,10.2,15.2,18.47656723982837,42.0,115.75384072728684,Boston,2020-12-28
2.703125000000001,10.695483870967745,9.6,18.47656723982837,39.0,109.2307813817057,Brooklyn,2020-12-28
2.7,5.8951754385964925,16.8,12.0,38.0,107.92397003707845,Charlotte,2020-12-28
3.5,10.2,22.4,13.0,26.0,81.6210840466847,Chicago,2020-12-28
5.6,3.8,27.718775510204093,18.47656723982837,38.0,107.39048686426383,Columbus,2020-12-28
1.2,4.8,16.8,12.0,32.0,94.97295618548253,Dallas,2020-12-28
2.6,10.1,3.3,12.0,34.0,99.02969803979033,Denver,2020-12-28
4.5,8.4,20.0,14.0,26.0,81.59205910008654,Detroit,2020-12-28
4.5,15.8,13.6,37.0,30.0,87.66059270399546,El Paso,2020-12-28
2.8652169542887327,3.7,20.8,18.47656723982837,17.0,61.90826984964497,Fort Worth,2020-12-28
2.4,7.5,22.4,7.0,28.0,86.61984610158993,Fresno,2020-12-28
5.2,10.6,2.5,19.0,54.0,141.59349465942705,Hartford,2020-12-28
5.6,7.6465755863285905,15.2,14.0,21.0,70.7762582677783,Honolulu,2020-12-28
1.2,10.9,19.2,18.47656723982837,24.0,76.66768441803492,Houston,2020-12-28
3.3,4.7,14.5,16.0,52.0,137.83036448052542,Indianapolis,2020-12-28
1.5,15.0,21.6,10.0,20.0,68.59781903979706,Jackson,2020-12-28
7.3,5.5,4.1,21.0,49.0,130.8052289697448,Jacksonville,2020-12-28
0.1,10.3,9.0,13.0,17.0,62.05015113457853,Las Vegas,2020-12-28
2.8652169542887327,7.6465755863285905,16.0,18.47656723982837,36.0,102.77946019120179,Little Rock,2020-12-28
2.6,8.4,24.1,6.0,19.0,67.12776287493443,Los Angeles,2020-12-28
2.8652169542887327,7.6465755863285905,29.0680751173709,8.0,18.0,64.80082236618932,Madison,2020-12-28
3.2,22.3,8.8,18.47656723982837,40.0,110.67064772154492,Manhattan,2020-12-28
2.8652169542887327,7.6465755863285905,17.6,18.47656723982837,37.0,104.91746273511933,Memphis,2020-12-28
1.4,7.6465755863285905,13.0,3.0,14.0,56.61032970459155,Miami,2020-12-28
3.5,10.2,22.3,14.0,25.0,79.22397495880682,Milwaukee,2020-12-28
2.8652169542887327,7.6465755863285905,22.92798507462688,18.47656723982837,33.0,96.23661102250549,Nashville,2020-12-28
3.8,5.6,16.0,18.47656723982837,25.0,79.01997854653473,Oakland,2020-12-28
3.4,4.7,18.4,13.0,25.0,79.5843131950561,Oklahoma City,2020-12-28
2.0,7.6465755863285905,17.6,9.0,13.0,53.83488883791915,Omaha,2020-12-28
2.3,9.3,16.0,18.47656723982837,39.0,109.11764689697873,Philadelphia,2020-12-28
4.5,11.5,15.9,24.0,30.0,88.98471950598832,Phoenix,2020-12-28
1.4,6.0,12.8,18.47656723982837,22.0,72.47536939351892,Portland,2020-12-28
8.3,23.2,24.1,18.47656723982837,38.0,106.21419224803992,Providence,2020-12-28
2.9,20.0,9.6,18.47656723982837,37.0,104.21619730315888,Queens,2020-12-28
5.4,16.7,7.3,17.0,42.0,115.3441672596573,Raleigh,2020-12-28
0.1,5.0,10.2,18.47656723982837,37.0,104.9733706951846,Richmond,2020-12-28
